date,open,high,low,close
1/31/1985,0.5334,0.5357,0.5179,0.5179
2/1/1985,0.5179,0.52,0.5066,0.5111
2/4/1985,0.5223,0.5245,0.5223,0.5223
2/5/1985,0.5268,0.5357,0.5268,0.5268
2/6/1985,0.5357,0.5357,0.5357,0.5357
2/7/1985,0.5357,0.5423,0.5334,0.5334
2/8/1985,0.5334,0.5357,0.5268,0.5334
2/11/1985,0.5446,0.5491,0.5446,0.5446
2/12/1985,0.5446,0.5468,0.5313,0.5313
2/13/1985,0.5313,0.5313,0.5066,0.5066
2/14/1985,0.5066,0.5111,0.4932,0.4932
2/15/1985,0.4932,0.5021,0.4888,0.5
2/19/1985,0.4977,0.4977,0.4932,0.4932
2/20/1985,0.4932,0.4955,0.4709,0.4709
2/21/1985,0.4798,0.4821,0.4798,0.4798
2/22/1985,0.4798,0.4977,0.4798,0.4932
2/25/1985,0.4932,0.4955,0.4866,0.4866
2/26/1985,0.4866,0.4888,0.4777,0.4777
2/27/1985,0.4777,0.4777,0.4486,0.4486
2/28/1985,0.4486,0.4486,0.442,0.442
3/1/1985,0.442,0.4441,0.4286,0.4441
3/4/1985,0.4509,0.4643,0.4509,0.4509
3/5/1985,0.462,0.462,0.462,0.462
3/6/1985,0.462,0.462,0.4396,0.4396
3/7/1985,0.4396,0.442,0.395,0.395
3/8/1985,0.395,0.395,0.3705,0.3839
3/11/1985,0.3973,0.3995,0.3973,0.3973
3/12/1985,0.4107,0.4152,0.4107,0.4107
3/13/1985,0.4107,0.4107,0.3884,0.3884
3/14/1985,0.3884,0.3905,0.3884,0.3884
3/15/1985,0.3884,0.4129,0.3861,0.4039
3/18/1985,0.4084,0.4129,0.4084,0.4084
3/19/1985,0.4084,0.4129,0.3929,0.3929
3/20/1985,0.3973,0.4039,0.3973,0.3973
3/21/1985,0.4039,0.4107,0.4039,0.4039
3/22/1985,0.4039,0.4107,0.3973,0.3973
3/25/1985,0.3973,0.3973,0.3861,0.3861
3/26/1985,0.4018,0.4018,0.4018,0.4018
3/27/1985,0.4018,0.4063,0.3905,0.3905
3/28/1985,0.3905,0.3973,0.3905,0.3905
3/29/1985,0.3905,0.3973,0.3905,0.395
4/1/1985,0.395,0.4039,0.3861,0.3861
4/2/1985,0.3861,0.3884,0.375,0.375
4/3/1985,0.375,0.3771,0.375,0.375
4/4/1985,0.375,0.3771,0.3682,0.3727
4/8/1985,0.3727,0.375,0.3504,0.3504
4/9/1985,0.3504,0.3527,0.3504,0.3504
4/10/1985,0.375,0.3795,0.375,0.375
4/11/1985,0.3816,0.3929,0.3816,0.3816
4/12/1985,0.3816,0.3816,0.3705,0.3727
4/15/1985,0.3816,0.3861,0.3816,0.3816
4/16/1985,0.3861,0.3884,0.3861,0.3861
4/17/1985,0.4039,0.4084,0.4039,0.4039
4/18/1985,0.4084,0.4107,0.4084,0.4084
4/19/1985,0.4084,0.4084,0.3995,0.4018
4/22/1985,0.4018,0.4018,0.3861,0.3861
